name,line
707,Nice~ Can’t believe u get to work straight after college lol
707,Thought they r the same? O_O?
707,I traced the IP…
707,Ya. I’m only saying I’m looking it up.
707,U don’t care anyways lol.
707,Nothing recent.
707,Oh and also!
707,"You have a better sense of who we are now, MC?"
707,Doubted you’d do it urself.
707,Oh. U already said lol.
707,Do u have that person’s username or chat record?
707,I made it impossible to log in without setting a username.
707,Nothing’s in the log…
707,It’s mandatory to set a username so he must have set it that way.
707,Anyways.
707,I should trace the person who distributed the app.
707,The evil mastermind.
707,I told him everything through the phone.
707,Uhm. Sorry but…
707,I can’t tell you that.
707,Not even her immediate family can go.
707,"Yup. That’s true, but also I’m the one who developed this app."
707,So then that ‘Unknown’ person…
707,Hosting parties?
707,But still…
707,Owner of the phone?
707,You were phished lol
707,had the person ‘Unknown’ convince u to go to the apartment.
707,Lol excited because she’s a girl?
707,"Ya. If you don’t cooperate, we can all team up to put u in trouble."
707,"First, we all know that u trespassed on the apartment^^"
707,Thank you for ur cooperation.
707,MC has to know this anyways…
707,I guess ur busy right now. Ur replies are really late.
707,Glad there’s a use for them lol
707,I created this chatroom lol.
707,Uhm. How do you know she’s pretty? I didn’t even send the photo. 
707,Ya. I have to register her before she changes her mind.
707,Good. I’ve registered her as a member! Oh. We don’t really need ur signature.
707,^^… Since it’s a verbal contract.
707,I’m gonna leave for a sec. Need to check sth.
707,How do u know how much I get paid?
707,Oh lol. Did u like the photo?
707,lol take the subway.
707,Knew it lol.
707,I want to see her~
707,…That was a bit too much.
707,Ya? She’s not picky with me.
707,"Alright, so all I have to do is hang around with this security guard and then go in lol. Okie dokie."
707,Nah~ I love everyone.
707,You don’t have to be careful of me haha
707,Wow! Ur like the only one who gets me in this group.
707,Ur cat is alive and well haha
707,Why can’t anyone recognize the love inside of me?
707,What’s that?
707,"Well, I had no choice because it was top secret."
707,Wow! She thinks I’m funny.
707,"Ya. But it was just once, and I don’t even remember where it is now~"
707,I just went to install AP…
707,I dunno about any secrets~
707,Don’t fear me.
707,Okay. Hope u make the right decision~
707,I can’t change how u think.
