name,line
707,Cuz u played LOLOL all night lol.
707,Nice~ Can’t believe u get to work straight after college lol
707,In this day and age!
707,Thought they r the same? O_O?
707,Wait!!
707,Think someone entered the chat room;;
707,Hacker!
707,Wait a sec. I’m searching.
707,Maybe?
707,Oh… ^^; Wait.
707,I traced the IP…
707,It’s from Rika’s apartment.
707,"Anyways, someone must have broken into her apt."
707,"It talked now, so it must be a person ^^;"
707,Yup
707,Lolol
707,That’s sexist lol. U should watch what u say now that ur a famous actor.
707,lolol
707,My hands r shaking as I hack.
707,If it doesn’t say anything I’ll hack in and find out.
707,Lol so awkward.
707,I thought it was a computer talking.
707,And wait a sec on the woman thing.
707,Looking it up.
707,Ya. I’m only saying I’m looking it up.
707,No evidence that I’m actually hackginh.
707,Lolol
707,My nickname’s 707.
707,Real name is a secret.
707,U don’t care anyways lol.
707, The name’s too holy to be spread around~ I’m gonna pray after I finish hacking.
707,Just remember me as the 22yr old young hacker lol
707,Where I live is also a secret.
707,So warm and fuzzy here
707,Nothing recent.
707,Oh and also!
707,"You have a better sense of who we are now, MC?"
707,Doubted you’d do it urself.
707,The cat’s name is Elizabeth the 3rd.
707,Oh. U already said lol.
707,My precious privacy!
707,That was so funn~~
707,I want to see the cat again~
707,Yup. It’s for sure…
707,How did it get the apartment password?!
707,Wait.
707,Do u have that person’s username or chat record?
707,I made it impossible to log in without setting a username.
707,Nothing’s in the log…
707,It’s mandatory to set a username so he must have set it that way.
707,Maybe…
707,A hacker…?!
707,A hacker! No way.
707,I have everything covered!
707,"Hey, MC. So he told you the password for the door lock?"
707,Anyways.
707,I should trace the person who distributed the app.
707,Yeah. I think that’s a good idea.
707,I’ll call and explain everything.
707,Already on it lol
707,The evil mastermind.
707,Ya.
707,Wecan.
707,Sorry callingvandtypingwithonehand
707,Lookedintoownerofdevice.
707,she’scutelol
707,thenwhydouplaythisgame
707,youdidntreadsweetfantasyforladies?
707,girl
707,notthereyet
707,iwillifineedtotholol
707,Itolduimahacker.
707,Butnoevidenceididit
707,Ya.
707,Nope~
707,How dare you try to violate someone’s privacy like that.
707,I told him everything through the phone.
707,Uhm. Sorry but…
707,I can’t tell you that.
707,Not even her immediate family can go.
707,And the apartment doesn’t belong to Rika.
707,"Yup. That’s true, but also I’m the one who developed this app."
707,Rika wanted to take care of some work through this too.
707,I went to her place to link the app with some of the documents in her computer.
707,I’m going to go pray for a moment.
707,So then that ‘Unknown’ person…
707,knew Rika!?
707,Hosting parties?
707,But still…
707,Owner of the phone?
707,You were phished lol
707,had the person ‘Unknown’ convince u to go to the apartment.
707,Lol excited because she’s a girl?
707,Insane heart lolololol
707,"Ya. If you don’t cooperate, we can all team up to put u in trouble."
707,"First, we all know that u trespassed on the apartment^^"
707,Uhm. No lol
707,Thank you for ur cooperation.
707,Ya
707,She hosted a fundraiser to help those in need
707,and introduced the guests to one another to arrange business deals.
707,Rika
707,founded the organization called RFA four years ago and hosted two parties until so far.
707,The six of us who knew her personally joined the organization and helped her host the parties.
707,MC has to know this anyways…
707,I guess ur busy right now. Ur replies are really late.
707,Yeah.
707,This app program is not just a simple messenger.
707,All the party related emails in Rika’s computer
707,will be transferred to this app.
707,U’ll be able to automatically receive the guests’ information as well.
707,And send personal messages to other members…
707,I put in all those features so that Rika could work more comfortably.
707,Glad there’s a use for them lol
707,omg
707,I created this chatroom lol.
707,We check that everyone’s alive with this chatroom and literally just chat.
707,Uhm. How do you know she’s pretty? I didn’t even send the photo. 
707,No.
707,Ya. I have to register her before she changes her mind.
707,Good. I’ve registered her as a member! Oh. We don’t really need ur signature.
707,^^… Since it’s a verbal contract.
707,Ya.
707,I’m gonna leave for a sec. Need to check sth.
707,Nah~ It’s work. I have to make a living somehow.
707,How do u know how much I get paid?
707,Oh lol. Did u like the photo?
707,Good job lol.
707,I’m gonna peace out.
707,"Anyways, welcome MC."
707,"Huh? Welcome, MC!"
707,Wow! Isn’t it the infamous MC! Welcome~!
707,lol take the subway.
707,Knew it lol.
707,I want to see her~
707,lmfao
707,Then how about cat man?
707,Trust fund baby cat? Director cat since you’re a Director?… Or~ Father… father or cat mom!
707,…That was a bit too much.
707,I know right? She’s a pretty chill cat.
707,Ya? She’s not picky with me.
707,Lol I can imagine him giving her cat food in his suit.
707,Should I? Then will you let me play with Elizabeth 3rd?
707,Can’t I go over to your place?
707,"Alright, so all I have to do is hang around with this security guard and then go in lol. Okie dokie."
707,Nah~ I love everyone.
707,You don’t have to be careful of me haha
707,Ya?
707,Hmm… Aside from hacking…
707,I fry bacon at the office. I burn music CDs too.
707,Why! Bacon is a huge source of protein!
707,Yup! That’s right.
707,Wow! Ur like the only one who gets me in this group.
707,I am not dangerous~!
707,Ur cat is alive and well haha
707,I want to play with Elizabeth again haha
707,Maybe I should get a cat?
707,"Anyways, thanks for getting me, MC!"
707,I am also very devoted to my religion.
707,My heart is full of love and peace!
707,Why can’t anyone recognize the love inside of me?
707,What’s that?
