name,line
UNKNOWN,…Hello…?
MC,?
UNKNOWN,Can you see this?
MC,"Yes, I can."
UNKNOWN,… Finally connected. Thank god.
MC,Who are you?
UNKNOWN,I’m sure you’re surprised.
UNKNOWN,It’s not everyday you get a text from a stranger.
UNKNOWN,"I’m a bit flustered myself. I found a smartphone at the subway station, but all it had was this messenger app."
UNKNOWN,"I want to find the owner, but I don’t see any contact info or call records…"
UNKNOWN,I’ve been sending messages with this app but no reply…
UNKNOWN,All I see is an address and some important-looking numbers saved in notes.
UNKNOWN,I’d like to go there myself but I’m currently abroad…
MC,First… who are you?
UNKNOWN,Me? Oh sorry. I didn’t even introduce myself.
UNKNOWN,I’m just… a student studying abroad. I’m Korean.
UNKNOWN,"I could tell you my name, but it doesn’t really matter."
UNKNOWN,You won’t find me on search engines. ^^;
UNKNOWN,"But, anyways…"
UNKNOWN,Can you help me find the owner of this phone?
MC,I thought this app was for chatting with pretty boys?
UNKNOWN,What? Oh.
UNKNOWN,I guess you’re seeing this message because of something you downloaded.
UNKNOWN,"I’m not sure, but I think it’s an app that’s connected to the one I’m using?"
UNKNOWN,Can you help me find the owner of this phone?
MC,An address?
UNKNOWN,Yes. There’s a Korean address and a long number. I think it’s a password.
UNKNOWN,Do you mind going to the address?
UNKNOWN,That’s all that’s saved in this phone.
UNKNOWN,I know you’re surprised to have someone suddenly pop up and ask you a favor like this.
UNKNOWN,But still…
UNKNOWN,I’d appreciate it if you could help.
MC,Why should I help you?
UNKNOWN,Since you’re the only clue I have.
UNKNOWN,"I’ve been trying to find the owner with this phone, but I didn’t find any clues until now."
UNKNOWN,I would really like to find the owner.
UNKNOWN,Then God will be happy.
UNKNOWN,Oh! Sorry I didn’t mention it before. I’m religious.
UNKNOWN,Never mind what I just said. I’m sorry if I weirded you out.
UNKNOWN,Can you please help me? I’ll make it up to you if I get to go back to Korea.
MC,Uh… Why are you talking to me as if I’m your friend?
UNKNOWN,Oh. Sorry. ^^;
UNKNOWN,Living aboard makes you lonely.
UNKNOWN,You don’t have to be such a stranger too…
UNKNOWN,"Anyways, can you please help me?"
